Some seeds for testing, using random.nextDouble() and random.nextInt(4), in this exact order.

Seed: 0, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 1, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 2, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 3, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 4, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 5, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 6, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 7, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 8, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 9, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 10, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 11, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 12, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 13, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 14, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 15, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 16, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 17, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 18, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 19, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 20, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 21, Color: GREEN, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 22, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 23, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 24, Color: YELLOW, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 25, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 26, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 27, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 28, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 29, Color: BLUE, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
Seed: 30, Color: RED, Level 0 will divide; Level 1 will divide; Level 2 will not divide; Level 3 will not divide; Level 4 will not divide; Level 5 will not divide; Level 6 will not divide; 
